l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,045	8,811	12,97741954	9,286525628	23,26935219	10,28390304	6,966308785	19,41309544	4,166869826	-9,22152139	17,35056824	0,145626629	-0,322280064	0,606379578	0,358738577	-0,93099608	0,692447452	73,10333535	49,52014864	137,9983864	35,94089081	24,3463345	67,84621954	38,26085892	26,48279948	66,35398296	0,496236737	0,103705296	1,944424462	0,420276606	0,300746189	0,753583125
0,046	8,727	16,77036	8,530287204	49,14224573	13,7277963	6,430707508	44,21481641	9,393000486	-3,729258679	44,03451167	0,328273034	-0,130332694	1,538948364	-0,325843	-7,612372482	0,740498356	97,58432109	45,712816	314,3019278	47,97684555	22,47447836	154,5249778	41,66751446	25,06493359	86,67287499	1,325478061	0,164002109	10,0933352	0,543111823	0,276255241	1,591482513
0,047	8,839	14,92807089	9,343972449	32,16393505	12,03448757	7,08671941	27,83710629	6,986714232	-4,411320069	27,13288946	0,244176489	-0,154169844	0,94825886	0,0678864	-2,689361056	0,688630618	85,54740129	50,37609004	197,8806401	42,05895386	24,76715382	97,28703135	40,24302875	27,9707834	67,03061058	0,847594906	0,116883073	4,055019822	0,483448882	0,302606617	1,041636161
0,048	8,825	12,05574341	8,74592976	22,34732253	9,354449029	6,405297347	18,59940068	3,72398466	-5,949350369	14,75991407	0,130148374	-0,207921984	0,515839617	0,438544246	-0,780999511	0,727212305	66,49629247	45,53218735	132,2142206	32,69257108	22,38567318	65,00246319	33,82945807	24,91976626	52,88263898	0,424249687	0,157977908	1,703082548	0,390427921	0,283238873	0,72372299
0,049	8,809	13,86044943	8,596667968	27,6324105	11,13603092	6,442443048	23,52431017	3,617450473	-12,66927979	22,49910721	0,126425144	-0,442774693	0,786314255	0,228523032	-1,723016985	0,736443876	79,1607038	45,79623833	167,2230405	38,91896585	22,51549253	82,2143752	42,11930577	26,95732938	79,63893439	0,593339376	0,108881502	2,901387594	0,448873725	0,278404996	0,894881735
0,05	8,852	14,77211139	9,080645047	30,03579115	12,07466432	6,717774842	25,72754766	6,133124038	-11,87157957	24,62426043	0,214344632	-0,414896118	0,860585569	0,118308826	-2,217295547	0,705933058	85,83299856	47,75344003	182,8847994	42,19936634	23,477741	89,91440094	42,20916236	26,23304018	73,23049136	0,767396541	0,128484486	3,45785379	0,478398099	0,294078701	0,972715749
0,051	8,92	15,1208551	9,199866034	33,25360928	12,23250517	6,820621946	27,81982624	5,845852315	-10,20770999	25,98040088	0,204304863	-0,356746061	0,907980897	0,063850541	-2,94357755	0,698160681	86,95501349	48,48453077	197,7578045	42,75099939	23,83717812	97,22663984	42,30820081	26,63713095	66,01606673	0,802206904	0,106664264	4,0614449	0,489692242	0,297939699	1,076925502
0,052	8,944	13,48655602	9,305097538	26,75493699	10,8386437	7,040448384	23,48131388	5,978705105	-7,30869365	22,80792597	0,208947893	-0,255429246	0,797107065	0,288858664	-1,552822808	0,691216087	77,04672067	50,04717151	166,9174005	37,87963657	24,60544266	82,0641088	38,02984607	26,50337906	61,2783092	0,620168633	0,118581839	2,855980261	0,436765104	0,301347645	0,866464561
0,053	8,89	15,64960897	8,65607219	45,2860506	12,80348116	6,534959713	40,34954838	8,940503243	-7,555535434	40,14965732	0,312458849	-0,264056043	1,403177805	-0,122724365	-6,313776778	0,732788869	91,01380798	46,45389493	286,8255909	44,74648549	22,83882613	141,0163735	40,11983225	25,35883852	82,47979475	1,110175245	0,109920246	8,45068468	0,506816053	0,280328815	1,46659878
0,054	8,85	13,29587598	8,736730668	38,13822318	10,62791623	6,512698576	32,97329991	6,353012214	-2,50398693	32,32474081	0,222029435	-0,087511055	1,129707248	0,194593244	-4,187208655	0,727785847	75,54876013	46,29565119	234,3913776	37,14317172	22,76102638	115,2373537	35,15065948	25,84348149	73,24595064	0,752950478	0,131237343	5,708092426	0,430589889	0,282940958	1,235114805
