l_rate	time	RMSE_mean	RMSE_min	RMSE_max	MAE_mean	MAE_min	MAE_max	ABS_mean	ABS_min	ABS_max	REL_mean	REL_min	REL_max	R2_mean	R2_min	R2_max	RAE_mean	RAE_min	RAE_max	MAPE_mean	MAPE_min	MAPE_max	sMAPE_mean	sMAPE_min	sMAPE_max	EV_mean	EV_min	EV_max	U2_mean	U2_min	U2_max
0,009	8,933	14,0127477	9,705899484	25,15337848	10,90357382	7,202328682	20,51593778	0,435428124	-17,58345693	13,16610586	0,015217641	-0,614518732	0,460138112	0,246779275	-1,256344753	0,664042466	77,50827774	51,19790091	145,8379638	38,1065588	25,17119305	71,70050871	41,8907023	27,47201032	100,7732366	0,425100269	0,146398191	1,567003483	0,453805938	0,314327705	0,814597734
0,0092	8,959	14,18069203	8,951958891	25,91897895	11,17436002	6,492454972	21,28790288	1,070037814	-13,33053003	17,35883647	0,037396417	-0,465884521	0,606668542	0,237684698	-1,395789097	0,714208726	79,43316701	46,15174911	151,3254935	39,05292102	22,69027764	74,39842538	42,68590032	25,12596043	82,43759724	0,471858247	0,154936502	2,276696521	0,459244853	0,289911172	0,839391874
0,0094	8,827	15,34373201	10,83326345	22,82255755	12,20441118	8,174560963	19,02955971	3,316073142	-8,337263455	16,24831243	0,115892402	-0,291376411	0,567857185	0,13149683	-0,857553914	0,581465353	86,75530677	58,10903399	135,2720149	42,65281458	28,56901721	66,50581253	43,6157838	30,21042238	70,4745448	0,611050612	0,139548498	1,83376919	0,49691016	0,350837637	0,739113581
0,0096	8,993	16,58344841	9,652377799	52,08757973	13,48008879	7,05425076	50,72136164	0,003709218	-50,63316049	24,56259234	0,000129632	-1,769562476	0,858430351	-0,309843693	-8,675672559	0,667737422	95,82348722	50,14528598	360,5538378	47,11114034	24,65368015	177,264499	48,38800871	27,5197532	199,3690934	0,603942972	0,124944663	4,181234809	0,53705865	0,312594393	1,686867807
0,0098	8,776	14,67794424	10,07250029	24,87987482	11,60934374	7,370332037	20,47228457	2,103987509	-12,47255766	17,38839541	0,073531601	-0,435899513	0,607701588	0,181783518	-1,207543082	0,638184321	82,52525773	52,3921562	145,527654	40,57313203	25,75834271	71,54794646	42,38553258	28,06070266	73,49670843	0,554553264	0,130502306	2,137518785	0,475348475	0,326200153	0,805740257
0,01	8,796	13,38210227	9,796720627	19,68047032	10,45074661	7,249511915	16,66576939	-2,170398561	-15,02753741	9,588957571	-0,07585258	-0,525192701	0,335121476	0,330900599	-0,381286451	0,65772573	74,28934631	51,5333039	118,468963	36,52398719	25,33609225	58,24467575	44,06632477	28,11220167	94,7389521	0,297035856	0,114015298	0,834331435	0,433382346	0,317268968	0,637356391
0,0102	8,851	14,93436279	10,53939871	19,75853565	11,87634888	7,77991798	16,06813578	3,491988896	-9,856479285	12,63196707	0,122040427	-0,344471009	0,441470663	0,176373265	-0,392266315	0,603863852	84,42326919	55,30370627	114,2206723	41,50627992	27,1897918	56,15602476	43,39613093	29,81225399	69,17807547	0,583275052	0,133729573	1,270640629	0,483652647	0,341320762	0,639884554
0,0104	8,871	14,68880012	9,757788967	26,07476744	11,62047684	7,069137212	20,87965379	3,411529032	-11,72288048	17,48731438	0,11922846	-0,40969928	0,611158676	0,161389811	-1,424675887	0,660440685	82,60439755	50,25110662	148,4234465	40,61204073	24,70570635	72,97164841	41,9857556	26,74377937	70,67597243	0,607390542	0,122206678	2,247848753	0,475700046	0,316008157	0,844437119
0,0106	9,123	15,30883301	9,621492017	29,51874506	12,17787914	7,041712355	25,37953288	0,40916203	-15,54755955	23,94885499	0,014299676	-0,543366792	0,836981036	0,061867291	-2,10748175	0,669860375	86,56670323	50,05615647	180,4109292	42,56008859	24,60986008	88,69813499	47,11089766	27,50166762	93,75082459	0,593360002	0,147474647	3,335714137	0,495779948	0,31159415	0,955971097
0,0108	8,784	17,66306517	10,88847419	44,9462159	14,6993422	7,952616566	43,87200562	-2,999569336	-43,7766963	20,61571072	-0,10483101	-1,529938055	0,72049202	-0,444565783	-6,204420833	0,577188435	104,490575	56,5313377	311,8650503	51,3722709	27,79335069	153,3268991	58,82514447	30,70553968	199,2748868	0,509325413	0,126512929	2,873604224	0,572022278	0,352625649	1,455593158
